date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:17	48525/48525	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Dec%202021%2013:52:04%20GMT	https://thepixelcurve.com/html/techmax/techmax/index-6.html	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/index-6.html	(from )
11:25:17	112/112	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Jun%202022%2008:25:17%20GMT	https://thepixelcurve.com/robots.txt		(from )
11:25:18	675/675	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Dec%202021%2011:42:42%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/images/favicon.png	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/images/favicon.png	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:18	59305/59305	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:46%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/plugins/all.min.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/plugins/all.min.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:18	6297/6297	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:46%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/plugins/flaticon.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/plugins/flaticon.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:19	162720/162720	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:46%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/plugins/bootstrap.min.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:19	13871/13871	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:46%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/plugins/swiper-bundle.min.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/plugins/swiper-bundle.min.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:19	26053/26053	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:46%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/plugins/aos.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/plugins/aos.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:20	6951/6951	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:46%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/plugins/magnific-popup.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
11:25:20	241938/241938	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20Dec%202021%2013:00:44%20GMT	https://thepixelcurve.com/html/techmax/techmax/assets/css/style.css	C:/My%20Web%20Sites/jirafront/thepixelcurve.com/html/techmax/techmax/assets/css/style.css	(from https://thepixelcurve.com/html/techmax/techmax/index-6.html)
